naca,re,aoa,cl,cd,cm
0010,2000000.0,13.0,1.3603739738464355,0.0194188598543405,0.0111302696168422
0010,2000000.0,13.5,1.4001582860946655,0.0206931699067354,0.0128491474315524
0010,2000000.0,14.0,1.4365631341934204,0.0221222359687089,0.0148828560486435
0010,2000000.0,14.5,1.4687625169754028,0.0237046461552381,0.0172998197376728
0012,500000.0,-10.0,-1.040269136428833,0.019645120948553,-0.0114283440634608
0012,500000.0,-9.5,-1.0049206018447876,0.0179909281432628,-0.0085753249004483
0012,500000.0,-9.0,-0.9632945656776428,0.0169778335839509,-0.0063303327187895
0012,500000.0,-8.5,-0.924348533153534,0.01582589186728,-0.0036172734107822
0012,500000.0,-8.0,-0.8851802945137024,0.0147788003087043,-0.0007516290643252
0012,500000.0,-7.5,-0.8446638584136963,0.0139075219631195,0.0019785785116255
0012,500000.0,-7.0,-0.8040281534194946,0.0131033798679709,0.0047276453115046
0012,500000.0,-6.5,-0.7630208730697632,0.012369206175208,0.0074070994742214
0012,500000.0,-6.0,-0.721601665019989,0.011671052314341,0.0099685713648796
0012,500000.0,-5.5,-0.679398775100708,0.0110188871622085,0.0122909946367144
0012,500000.0,-5.0,-0.6275187730789185,0.0103670693933963,0.0125126531347632
0012,500000.0,-4.0,-0.4804088473320007,0.008991097100079,0.0040277135558426
0012,500000.0,-3.5,-0.4043921828269958,0.008408872410655,-0.000535508908797
